Country,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Sierra Leone,0.00105723596039327,0.00670705139382792,3.222990704656933e-4,0.00179965225993542,7.03333491185607e-5,6.205808519510726e-4,low,0.0014,0.18,2851.952081
Singapore,0.2049440548255236,0.11684319268023365,0.02267779729961948,0.01976256332607253,0.02532627284206664,0.02766546089097046,mid,1.1604,204.66,132617.354
Slovakia,0.09448836325639257,0.05651566318090583,0.01768110279162484,0.01747137566547347,0.02178844485720701,0.02556588068665278,mid,0.3082,56.55,38346.09358
Slovenia,0.03006521079447846,0.01793786455629564,0.00320394005135121,0.00310255526362777,0.00384888695219485,0.00453237479320526,mid,0.1215,58.73,45914.05724
Solomon Islands,1.531531858684802e-4,6.835602227158853e-4,6.542958607361936e-5,3.881138323805132e-4,2.4396879153093995e-5,1.9644901228069647e-4,low,0.0021,3.26,2518.421624
Somalia,0.00185351154709585,0.01574701845062722,6.325647633275589e-4,0.00417444335350226,1.371287849858931e-4,0.00121913652497703,low,0.0026,0.17,1392.46426
South Africa,0.46129890121097344,0.335068283932032,0.07686077633141124,0.09689302170121464,0.10859198928765514,0.1621962462104121,mid,2.2861,38.86,13711.29357
South Sudan,0,0,0,0,0,0,high,0.0011,0.09,NA
Spain,1.9321720472054076,0.4912126954447711,0.2947146375540993,0.08072785165850821,0.2012098503439796,0.10916969917458556,high,8.3063,178.03,44251.66582
Sri Lanka,0.01147733700526196,0.02528427265241968,0.00253125175607469,0.01017114239385122,8.734522585288079e-4,0.00411997635867649,low,0.04,1.82,14316.13522
Sudan,0.00612862111970986,0.03325854875577369,0.00142606899000501,0.00830496919076136,4.118221676491974e-4,0.00407516523607528,low,0.0463,1.07,3248.975586
